Instance,N,M,Densite,VariancePoids,TauxRemplissage,TempsBB,OptimumBB
../instances/kp_100_1.in,100,24379,1.10718,77771.2,2.00004,0.000367091,41700
../instances/kp_100_2.in,100,25578,0.933517,68789.5,2,0.000743026,38400
../instances/kp_1000_1.in,1000,246582,0.989938,80503.3,2,0.0273813,396688
../instances/kp_1000_2.in,1000,254749,0.987994,81411.2,2,0.00455472,407933
../instances/kp_10000_1.in,10000,2465101,1.02302,82531.1,2,0.00923442,4092641
../instances/kp_10000_1_0.1.in,10000,246510,1.02302,82531.1,20,0.0796436,1296678
../instances/kp_10000_1_0.01.in,10000,24651,1.02302,82531.1,200,0.0113935,417231
../instances/kp_10000_1_0.02.in,10000,49302,1.02302,82531.1,100,0.0566766,585031
../instances/kp_10000_1_0.03.in,10000,73953,1.02302,82531.1,66.6667,0.0947238,714788
../instances/kp_10000_1_0.04.in,10000,98604,1.02302,82531.1,50,0.000854098,823225
../instances/kp_10000_1_0.05.in,10000,123255,1.02302,82531.1,40,0.0355154,919169
../instances/kp_10000_2.in,10000,2507869,1.0024,83693.4,2,0.0396948,4085792
../instances/kp_100000_1.in,10000,338437,9.82734,2215.76,2.00001,0.00688929,4687329
../instances/kp_100000_2.in,10000,336308,9.89928,2236.13,2,0.0146806,4688174
